UNITID,YEAR,COHORT,gradRateT_Total,gradRateG_Men,gradRateG_Women,gradRateR_White,gradRateR_Black,gradRateR_Asian,gradRateR_Hispanic,gradRateR_AmInd,gradRateR_NatHawaii,gradRateR_NonResident,gradRateR_2orMore,gradRateR_Unknown
419341,2010,4,0.618,0.588,0.647,0.333,0.842,0,0.5,,,,,
202046,2008,2,0.623,0.659,0.597,0.649,0.5,0.5,0,,,,,0
138789,2009,3,0.786,0.825,0.688,0.854,0.375,,,,,,,
170639,2012,3,0.225,0.163,0.283,0.226,0,0.143,0.333,0.154,,1,,1
211608,2009,2,0.238,0.176,0.288,1,0.231,,0.333,,,1,,0.261
229780,2011,2,0.376,0.32,0.419,0.439,0.25,,0.146,0.333,,0.8,,0.444
156189,2010,2,0.383,0.38,0.385,0.379,1,1,0,,,0,,
232937,2009,2,0.323,0.295,0.349,0.154,0.331,0,0.3,0.5,,1,,0.275
173142,2009,3,0.467,0.379,0.522,0.492,0,1,0,0,,0.333,,0.333
211608,2012,2,0.229,0.191,0.261,1,0.227,,0.5,,,1,,0.118
417327,2008,4,0.5,0.375,0.542,0.571,0.455,0,0.75,0,,0,,0.333
410502,2010,3,0.467,0.1,0.571,0.667,0.455,0.4,0.533,0,,,,0.333
177117,2012,3,0.573,,0.573,0.591,0,0.6,0.462,0,,0.727,,
402776,2011,3,0.692,0.75,0.667,0.75,,,0.667,,,,,
154378,2011,4,0.296,0.293,0.299,0.286,0.263,0,0.143,,,0.556,1,0.389
217086,2008,4,0.484,0.333,0.52,0.605,0.25,1,0.333,,,,,
203757,2012,3,0.846,1,0.833,0.846,,,,,,,,
106704,2010,2,0.423,0.343,0.478,0.472,0.255,0.425,0.325,0.222,,0.267,,0.315
420538,2012,4,0.568,0.386,0.743,0.578,1,,0.25,0,,,,
208646,2009,2,0.315,0.262,0.363,0.305,0.333,0.571,0.125,0,,1,,0.25
174622,2008,3,0.429,0.111,0.515,0.469,0,0.5,0.5,1,,,,0
129774,2011,2,0.485,0.442,0.532,0.521,0.35,0.5,0.444,0.25,,,,
198978,2011,3,0.33,0.304,0.338,0.377,0.174,0,1,0,,,1,
193016,2010,2,0.331,0.255,0.371,0.414,0.186,0.667,0.234,0,,0.286,,0.778
167251,2012,2,0.437,0.411,0.45,0.42,0.459,0.438,0.55,,,0.357,,
154721,2012,2,0.335,0.24,0.416,0.378,0.2,1,0.167,0,,0.5,0.286,
181783,2010,2,0.475,0.442,0.5,0.486,0.346,0,0.429,0.444,,,,0.4
157076,2011,2,0.445,0.367,0.53,0.494,0.321,0,0,1,,,,0.364
213303,2012,3,0.311,0.306,0.314,0.333,0.667,0,0.333,0,,1,,0.256
184612,2008,2,0.356,0.263,0.391,0.457,0.132,0.097,0.424,,,0.4,,1
231837,2009,3,0.548,0.625,0.529,0.568,0.25,,,,,,,1
137032,2012,2,0.436,0.381,0.484,0.435,0.342,0,0.39,,,0.571,,0.481
204671,2012,2,0.375,0.366,0.387,0.377,0.1,1,0.714,,,,,0.2
101912,2009,2,0.401,0.333,0.443,,0.382,0,0,1,,0.76,,0.2
442505,2010,3,0.426,0.34,0.492,0.415,0.405,0,0.441,,,,1,
149639,2012,2,0.588,0.55,0.643,0.667,0.5,,0.571,,,,0,
199494,2009,4,0.425,0.478,0.391,0.428,0.407,0,0.5,0,,0,,0.889
147341,2011,2,0.57,0.503,0.639,0.588,0.375,0.2,0.643,0,,,,
188687,2012,4,0.455,0.556,0.385,1,0.455,,0.333,,,,,0.333
136215,2010,2,0.406,0.38,0.418,0.482,0.26,0.604,0.348,0,,0.333,,0.286
240107,2011,2,0.491,0.397,0.525,0.504,0,0,0,0,,1,,0.6
230834,2009,2,0.472,0.45,0.493,0.485,0,0.25,,1,,,,0.366
442505,2012,3,0.494,0.48,0.513,0.654,0.375,0.5,0.5,,,,0,
215266,2009,3,0.684,1,0.625,0.706,,,,,,,,0.5
153214,2010,4,0.423,0.4,0.446,0.448,0.263,0.375,0.39,0.222,,0.167,,0.381
404365,2009,4,0.638,0.516,0.698,0.663,0,1,0,,,,,
200590,2010,4,0.716,0.733,0.712,0.763,0.591,,,,,,,
207157,2011,2,0.727,0.455,1,0.833,0,0,,0.5,,,,
166984,2010,3,0.394,0.412,0.375,0.333,0,,1,,,0.667,0.333,
205522,2010,4,0.857,1,0.8,0.857,,,,,,,,
193353,2008,2,0.529,0.44,0.563,0.55,0.394,0.571,0.467,,,,,
200785,2011,3,0.605,0.6,0.606,0.667,0.455,,,,,,,0.581
204592,2009,4,0.596,0.6,0.595,0.722,1,,,,,,,0
152567,2008,2,0.461,0.445,0.508,0.495,0.25,0,0,,,1,,0.353
159993,2012,2,0.372,0.34,0.39,0.423,0.252,0.5,0.417,0,,0.818,,
425296,2008,2,0.462,0.75,0,0.4,0.4,,,,,1,,0.5
184180,2012,4,0.235,0.212,0.264,0.255,0.085,0.556,0.208,1,,0.32,0.25,0.127
117168,2011,2,0.649,0.455,0.731,0.76,0,0.25,0.667,0,,,,
134811,2010,3,0.444,0.471,0.44,0.524,0.6,0.25,0.5,,,,,0.282
164632,2009,2,0.566,,0.566,0.579,0.625,0,0.375,0,,0.8,,
192040,2008,2,0.878,0.875,0.88,,,,,,,,,0.878
221768,2008,2,0.487,0.48,0.492,0.525,0.365,0.333,0.273,0.222,,0.333,,
233611,2008,2,0.276,0.25,0.284,0.367,1,0,0,1,,0.333,,0
134680,2012,3,0.37,0.349,0.38,0.391,0.286,0,0.364,,,,1,0.37
117627,2010,2,0.351,0.363,0.343,0.349,0.385,0.321,0.306,0,,0.739,,0.353
448859,2011,4,0.733,0.744,0.5,0.833,0.5,,0.2,,,,,
226152,2009,2,0.373,0.244,0.448,0.214,0.333,1,0.371,,,0.526,,0
260974,2008,2,0.824,0.929,0.333,0.923,0.5,,,,,,,
151111,2010,2,0.353,0.316,0.378,0.359,0.288,0.434,0.345,0.286,,0.5,,0.25
189459,2011,3,0.434,0.454,0.41,0.564,0.31,,0.429,,,,0.5,0.408
219091,2011,2,0.439,0.391,0.512,0.5,0.5,0,0.167,0,,1,0,0
408039,2009,3,0.418,0.286,0.446,0.441,0.25,,0.667,,,,,1
152822,2009,3,0.56,0.561,0.56,0.577,0.25,1,0,,,,,
153825,2008,2,0.603,0.59,0.615,0.644,0.556,,0.5,0,,0,,0
138682,2010,4,0.424,0.459,0.386,0.506,0.399,1,0,,,,0.333,
170639,2010,2,0.419,0.412,0.427,0.426,0.2,0.333,0.5,0.346,,0.444,,
101499,2009,4,0.408,0.456,0.284,0.36,0.47,0.5,0.333,0.167,,,,0.529
214582,2008,4,0.437,0.39,0.486,0.468,0.405,0.25,0.5,,,,,0.571
130776,2010,2,0.447,0.431,0.462,0.456,0.378,0.5,0.256,0,,,,0.577
232672,2012,2,0.494,0,0.496,0.494,0.404,1,0.619,,,0,,
215442,2008,2,0.465,0.416,0.488,0.491,0.444,0.5,0.111,,,0.5,,0.091
115472,2008,4,0.294,0.232,0.325,0.412,0.444,0.571,0.482,0.5,,,,0.245
141158,2011,4,0.361,0.487,0.301,0.426,0.263,,0.667,,,,1,
151111,2008,2,0.323,0.301,0.339,0.325,0.235,0.468,0.31,0.333,,0.56,,0.31
366553,2009,3,0.371,0.359,0.377,0.373,0.377,0,0.397,0,,1,,0.25
427973,2011,4,0.472,0.485,0.333,0.538,0.533,,1,,,,,0.143
101949,2008,4,0.695,0.634,0.739,0.623,0.813,,,,,,,0
166638,2012,2,0.382,0.299,0.432,0.384,0.359,0.446,0.299,0,,0.471,,0.431
224147,2012,2,0.387,0.366,0.4,0.42,0.492,0.611,0.327,0.5,,0,,
203580,2010,2,0.468,0.459,0.471,0.53,0.182,1,0.25,,,0,0,0.143
130776,2009,2,0.425,0.368,0.472,0.421,0.36,0.526,0.51,0,,,,0.421
188182,2008,2,0.5,0.571,0.45,0.481,1,,0.5,,,,,
367909,2012,3,0.385,0.324,0.401,0.426,0.374,0.833,0.258,0,,,,0.5
144351,2008,2,0.5,0.442,0.532,0.874,0,0.667,0.455,,,0,,0.031
441636,2012,4,0.833,1,0.786,0.882,,,,,,,,0
212090,2011,4,0.461,0.359,0.483,0.563,0.405,,0.667,0,,,,0.563
173328,2009,2,0.503,0.438,0.566,0.585,0.2,0.375,0.5,0,,0,0.333,0
206695,2012,2,0.324,0.295,0.351,0.371,0.086,0.7,0.176,0.4,,0.5,,0.297
174020,2012,2,0.389,0.529,0.263,0.444,0.25,0.375,0,,,1,0.25,
166948,2009,3,0.4,0.286,0.429,0.385,0,1,0.5,,,,,0.5
139904,2009,4,0.408,0.4,0.419,0.516,0.248,0.143,0.833,0.333,,,,0.2
420316,2010,3,0.413,0.5,0.323,0.514,0.25,1,0.5,0,,,,
210429,2010,2,0.419,0.342,0.479,0.435,0.231,0.25,0.388,0.143,,0.333,,0.48
438638,2008,4,0.538,0.357,0.571,0.5,0.534,,1,,,,,
443049,2012,2,0.833,1,0,0.667,1,,,,,,,
449092,2009,4,0.85,0.8,1,,,,0.85,,,,,
439312,2012,4,0.875,1,0.75,0.875,,,,,,,,
161484,2011,4,0.426,0.496,0.31,0.429,0.5,0.429,0,0.364,,,,0.545
140818,2008,2,0.489,0.387,0.571,0.481,0.571,,1,,,,,0
443562,2011,3,0.882,0.83,0.904,,,,0.882,,,,,
210960,2012,3,0.284,0.278,0.294,0.339,0.071,1,0,,,1,,0.231
152099,2008,3,0.604,0.575,0.639,0.667,0.692,,,,,,,0.32
152099,2012,3,0.494,0.463,0.528,0.455,0.556,,0.5,,,,,0.5
235334,2012,4,0.38,0.425,0.34,0.376,0,0.5,0.375,0,,,0.6,0.5
138682,2008,4,0.426,0.484,0.367,0.514,0.372,0,1,0,,,,0.333
207254,2012,2,0.52,0.5,1,0.476,0,,1,,,,,
183789,2012,2,0.336,0.287,0.364,0.394,0.323,0.417,0.296,0,,0.667,,0.412
230472,2010,3,0.415,0.33,0.435,0.418,0.273,0.429,0.4,0.316,,,,0.48
152099,2011,2,0.638,0.458,0.747,0.667,0.4,,,,,,,0.586
240170,2011,4,0.388,0.392,0.383,0.392,0.167,0.4,0.5,0.6,,,0,0.273
240471,2008,2,0.554,0.513,0.579,0.567,0.313,0.333,0.636,0,,0,,
221856,2009,2,0.295,0.34,0.254,0.273,0.333,1,0.333,,,0.667,,
433420,2009,4,0.354,0.333,0.361,0.408,0,0.833,0.306,0.4,,0.5,0,
134945,2010,2,0.405,0.396,0.416,0.428,0.36,0.5,0.32,,,0.25,,0.42
174394,2009,3,0.583,0.591,0.565,0.167,0,1,0,,,,,0.589
126207,2008,4,0.434,0.438,0.431,0.491,0.333,0.5,0.2,,,,,0.667
167729,2011,2,0.416,0.361,0.443,0.434,0.329,0.344,0.337,0,,0.536,,0.294
185129,2010,2,0.365,0.316,0.4,0.407,0.305,0.477,0.324,0,,0.5,,0.4
189459,2012,3,0.386,0.368,0.405,0.453,0.288,0.25,0.342,,,,0.6,0.401
158352,2009,4,0.422,0.455,0.372,0.594,0.317,,1,0,,,,0.333
198507,2008,2,0.428,0.287,0.526,0.3,0.452,0,0,1,,0.5,,
152424,2009,4,0.54,0.385,0.56,0.603,0.405,,1,,,,,
439163,2012,3,0.6,0.643,0,0.5,0,,0.75,,,1,,
240462,2008,2,0.551,0.52,0.608,0.56,0.333,0.333,0.3,0.286,,0,,
442347,2011,4,0.365,0.368,0.35,0.35,0.372,1,0.286,,,,,0.4
198543,2010,2,0.341,0.259,0.388,0.372,0.344,0.167,0.286,0,,1,,0.333
189848,2010,2,0.447,0.528,0.432,0.454,0.5,0.333,0.333,0,,,,0.462
119270,2010,2,0.5,0.545,0,0.444,,0,1,,,1,,
448309,2008,2,0.704,0.667,0.714,0.571,0.833,,,,,,,0
366535,2010,4,0.475,0.398,0.492,0.49,0.466,,0.5,0,,,,0.667
136516,2012,3,0.312,0.3,0.321,0.338,0.227,0.4,0.19,0.5,,0.4,,0.5
103723,2012,2,0.386,0.374,0.45,0.452,0.176,0.154,0.4,0.167,,,0.556,0.373
198507,2012,2,0.426,0.349,0.479,0.388,0.434,1,0.286,,,,,0.125
440590,2008,2,0.449,0.468,0.4,0.486,0.3,0.8,0.583,0,,0,,0
219189,2012,4,0.624,0.636,0.574,0.653,0,0.333,,0.333,,,,0.333
407328,2011,4,0.684,0.333,0.75,0.719,0.333,,0.667,,,,,
198835,2012,2,0.49,0.385,0.569,0.52,0.378,0.5,0.2,0,,0,,0.444
106458,2010,2,0.337,0.32,0.35,0.389,0.188,0.4,0.35,0.143,,0.778,,0.231
228802,2009,2,0.353,0.286,0.405,0.362,0.258,0.2,0.455,1,,0,,0.167
204671,2011,2,0.461,0.444,0.48,0.476,0.375,1,0,0,,,,0.25
187596,2012,3,0.695,0.64,0.791,,,0.64,,0.72,,,,
195809,2011,3,0.412,0.316,0.469,0.643,0.303,0.667,0.357,,,0,,0.318
146010,2008,3,0.228,0.075,0.385,0.286,0.122,1,0.389,1,,0,,
432533,2009,3,0.4,0.389,0.414,0.458,0.313,0.75,0.455,,,,,0.306
234696,2010,4,0.438,0.509,0.222,0.483,1,0.25,0.25,0.333,,,,0
132471,2009,2,0.348,0.392,0.324,0.321,0.292,0.571,0.389,0,,0.483,,0.364
140234,2012,2,0.428,0.359,0.508,0.475,0.314,1,0.2,0,,0.2,0,
136066,2009,3,0.406,0.505,0.285,0.475,0.341,0.333,0.389,0,,,,0.75
178217,2008,4,0.32,0.31,0.327,0.323,0.167,0,0.286,0.25,,1,,0.5
407319,2008,3,0.529,0.543,0.4,0.511,0.5,,,,,,,1
201964,2008,2,0.622,0.632,0.615,0.614,1,,,,,,,
172918,2008,4,0.571,0.591,0.528,0.59,0,0.6,0.25,0,,,,0.353
440484,2012,2,0.402,0.38,0.427,0.409,0.333,0,0.406,,,,0.375,0.75
180489,2008,2,0.408,0.387,0.425,0.421,0.111,0.481,0.241,0.108,,0.5,,0.4
115533,2009,4,0.436,0.348,0.478,0.552,0.346,0.722,0.5,,,,,0.1
237640,2010,2,0.549,0.5,0.6,0.583,0.25,,0,0,,1,,0
209807,2008,2,0.337,0.292,0.377,0.311,0.333,0.438,0.306,0.304,,0.4,,0.384
115490,2008,4,0.397,0.412,0.388,0.364,0.273,0.577,0.431,0.5,,,,0.139
140988,2008,2,0.495,0.5,0.493,0.497,0.625,0,0,,,0.538,,0.333
440299,2009,3,0.415,0.379,0.433,1,0.2,,0.65,,,,,0.402
219806,2008,2,0.527,0.452,0.605,0.543,0.394,0.333,0,0,,0.625,,0
189413,2012,3,0.722,0.563,0.768,,0.7,,0.726,,,,,
159993,2011,2,0.341,0.306,0.364,0.394,0.226,0.462,0.278,0.25,,0.857,,
399869,2009,3,0.539,0.387,0.636,0.626,0.133,0.731,0.426,,,,,
203739,2009,4,0.667,0.667,0.667,0.727,0.25,,0.5,,,,,
204680,2010,2,0.331,0.333,0.329,0.34,0.111,0.5,0.2,0,,1,,0.333
157304,2011,4,0.376,0.304,0.427,0.385,0.235,0,0.75,1,,,,0
237118,2008,2,0.476,0.4,0.519,0.482,0.6,,0,0,,1,,0
211477,2012,3,0.652,0.538,0.697,0.839,0.25,0,0,,,,,0.5
141361,2009,3,0.397,0.316,0.471,0.391,0.2,0.5,0.6,,,0.6,,
214810,2008,3,0.508,0.579,0.478,0.51,0.667,0.4,0.333,,,,,
447421,2010,3,0.6,0.75,0.5,0.625,,,0,1,,,,
130989,2012,2,0.453,0.412,0.491,0.517,0.423,0,0.25,0,,0.429,0.5,
106467,2009,2,0.409,0.387,0.431,0.422,0.261,0.357,0.25,0.357,,0.6,,
200314,2011,4,0.356,0.306,0.455,0.365,0.4,0.154,0,0.125,,0.438,,0.875
190549,2012,3,0.429,0.167,0.778,0,0.6,0.5,0.5,,,0.5,,
237792,2009,2,0.447,0.463,0.435,0.454,0.333,0.556,0.286,,,0.5,,
177339,2009,2,0.451,0.466,0.441,0.45,0.583,0.583,0.333,0.167,,,,
262457,2009,4,0.458,0.333,0.51,0.4,0.273,0.333,0.5,0,,0.667,,
220701,2011,2,0.492,0.515,0.469,0.467,0.581,,0.4,,,0.55,,
154129,2009,4,0.589,0.621,0.5,0.576,,,0.5,0,,,,0.688
407328,2009,4,0.929,0.667,0.949,0.929,,,,,,,,
172954,2010,4,0.289,0.312,0.204,0.288,0.214,0.333,1,0.333,,0.5,,0
137810,2008,3,0.382,0.5,0.356,0.368,0.1,,0.6,0,,0.5,,0.667
204486,2008,3,0.59,0.61,0.457,0.222,0,,1,,,,,0.594
225779,2012,4,0.675,0.593,0.716,0.5,0.286,0,0.703,,,,,
198543,2008,2,0.379,0.308,0.421,0.273,0.39,0.333,0.368,,,0,,1
203085,2009,2,0.54,0.462,0.627,0.576,0.267,,0.5,0,,0.5,,0
128498,2009,2,0.464,0.432,0.482,0.485,0.434,0.2,0.474,,,,,0.5
240198,2008,4,0.541,0.56,0.51,0.544,,,0.333,0.353,,,,0.63
228769,2009,2,0.362,0.313,0.413,0.322,0.431,0.427,0.356,0.083,,0.763,,
197230,2008,2,0.55,,0.55,0.571,0.167,0.75,0,,,0.2,,0.682
156620,2010,2,0.375,0.341,0.397,0.379,0.26,0.684,0.444,0.364,,,,0.226
100830,2011,2,0.333,0.277,0.371,0.413,0.187,0.375,0.429,0.25,,0,,0.833
169798,2008,2,0.357,0.312,0.386,0.405,0.205,0.333,0.293,0.375,,0.417,,0.385
181020,2008,2,0.663,0.649,0.676,0.694,0.286,0.5,0,,,,,0
156082,2010,3,0.688,0.857,0.556,0.667,,,,,,,,0.7
126702,2009,2,0.458,0.445,0.474,0.49,0,0.429,0.474,0.25,,,,0.448
221014,2010,2,0.558,0.507,0.59,0.579,0.333,0,0.4,,,0.5,,
128391,2009,2,0.39,0.351,0.463,0.402,0.667,0.3,0.286,0.222,,,,0.386
105118,2008,4,0.49,0.586,0.468,0.5,0.25,,0.606,0.4,,,,0.167
209807,2010,2,0.36,0.295,0.416,0.371,0.278,0.426,0.306,0.158,,0.579,,0.277
158088,2009,4,0.4,0.37,0.424,0.387,0.385,1,,0.5,,,,
218821,2011,4,0.407,0.399,0.416,0.431,0.342,0,0.471,,,1,,
448363,2008,4,0.418,0.227,0.431,0.494,0.376,0,0.258,0,,0.5,0.444,0.318
260947,2009,2,0.833,1,0.8,0.833,,,,,,,,
156365,2008,3,0.833,1,0.8,0.833,,,,,,,,
158440,2010,4,0.833,,0.833,1,0.8,,,,,,,
174862,2011,2,0.532,0.479,0.578,0.543,0.333,0.667,0.333,,,0,,0
199157,2012,2,0.426,0.362,0.461,0.167,0.438,0,0.111,0.5,,0.6,,0.4
141264,2008,2,0.402,0.34,0.441,0.398,0.413,0.476,0.542,0.286,,0.167,,
161299,2012,3,0.857,0.75,1,0.857,,,,,,,,
167455,2011,2,0.341,,0.341,0.222,0.366,0.571,0.467,,,0.556,0.2,0.4
151111,2009,3,0.283,0.293,0.271,0.29,0.16,1,0.167,,,0.333,,0.667
240693,2010,4,0.464,0.495,0.438,0.433,,0.333,0.538,0,,0.762,,
169974,2011,4,0.215,0.136,0.28,0.221,0.111,1,0,0.5,,1,,0
224527,2011,2,0.434,0.326,0.528,0.463,0.212,0.5,0.286,0.714,,,,
152381,2009,2,0.597,,0.597,0.587,0.5,,0.5,,,,,0.682
147776,2011,2,0.233,0.207,0.249,0.313,0.086,0.338,0.179,1,,0.6,,0.257
153861,2008,2,0.5,0.529,0.474,0.542,0,0.667,0,,,0.75,,
199157,2011,2,0.384,0.343,0.404,0.3,0.388,0.25,0.364,0,,0.667,,0.361
199102,2011,2,0.407,0.35,0.458,0.471,0.409,0.125,0.391,0.25,,0.5,,0.1
142276,2012,2,0.317,0.261,0.361,0.314,0.429,0.4,0.317,0.167,,0.625,,0.269
180522,2012,2,0.3,0.266,0.353,0.291,0,0,1,0,,0.75,0,0.5
232672,2009,2,0.415,1,0.413,0.435,0.424,0.273,0.5,0,,0,,0
215266,2008,3,0.48,0,0.545,0.435,,,1,,,,,1
207403,2011,2,0.508,0.493,0.518,0.57,0.083,0.25,0.364,0.5,,0,,0.174
215390,2010,4,0.756,0.818,0.714,0.797,0.375,,,,,,,
240462,2010,2,0.537,0.509,0.59,0.549,0.091,0.2,0.333,0.2,,0,,0.45
197993,2009,2,0.482,,0.482,,0.495,,1,,,1,,0
149231,2010,2,0.514,0.499,0.524,0.539,0.329,0.395,0.409,0,,0.25,,
192192,2008,2,0.518,0.439,0.551,0.539,0.25,0.75,0,0,,,,0.412
161554,2011,2,0.327,0.292,0.353,0.318,0.333,0,0.375,0.1,,1,0,0.361
219082,2009,2,0.411,0.356,0.49,0.424,1,0,0.333,0,,,,0.444
181093,2010,2,0.439,0.526,0.395,0.431,0.667,,1,0,,,,
214801,2009,2,0.467,0.469,0.465,0.491,0.325,0.529,0.426,0,,0.286,,
151786,2011,3,0.667,1,0.625,0.833,0.333,,,,,,,
237367,2011,2,0.33,0.325,0.334,0.329,0.286,0,0.25,0,,0.8,0.429,0.375
210942,2012,2,0.358,0.364,0.353,0.374,0.354,0.429,0.421,0.5,,0,,0.305
202134,2012,2,0.337,0.34,0.335,0.416,0.167,0.444,0.156,0,,1,,0.262
453455,2012,4,0.524,0.5,0.529,0.571,0.333,,,,,,,1
151786,2009,2,0.496,0.539,0.474,0.531,0.25,0,0.333,,,0.5,,0.333
159966,2012,2,0.399,0.332,0.441,0.448,0.223,0.25,0.304,0.286,,0.333,,0.44
443854,2009,4,0.402,0.263,0.43,0.453,0.352,0.714,0.45,0,,,,0.392
222105,2010,4,0.833,0.909,0,1,0.714,,,,,,,
220473,2009,2,0.596,0.577,0.61,0.623,0.25,0,0,,,0.8,,
440147,2009,3,0.473,0.565,0.321,0.556,0.44,,0.5,,,,0.6,
210951,2012,4,0.8,0.5,0.817,0.838,0.5,0,,,,,,
145372,2011,2,0.518,0.45,0.62,0.576,0.257,,0.2,0,,0.5,,0.333
136215,2009,2,0.363,0.352,0.37,0.394,0.203,0.556,0.364,0,,0.417,,0.435
206862,2010,2,0.458,0.398,0.524,0.5,0.111,0.5,0.263,0.2,,0.5,,
196042,2009,2,0.364,0.383,0.283,0.359,0.379,0.364,0.238,,,0.667,,0.417
126702,2008,3,0.409,0.447,0.372,0.451,0.167,0,0.263,1,,,,0.345
177339,2008,2,0.396,0.373,0.411,0.397,0.462,0.714,0.2,0.5,,0,,
146667,2012,2,0.489,0.424,0.552,0.488,0.5,0,,,,1,,
138947,2012,2,0.392,0.371,0.399,,0.392,0,0.5,1,,0,,0.399
118541,2010,3,0.394,0.363,0.419,0.31,0.188,0.286,0.435,0,,0.316,,0.742
234492,2012,3,0.318,0.241,0.398,0.328,0,0.385,0.25,0.125,,1,,0.407
175227,2012,3,0.423,0.432,0.318,0.457,0.333,0.667,0.222,0.4,,,0.2,0
151111,2009,2,0.346,0.337,0.353,0.347,0.247,0.396,0.479,0,,0.579,,0.368
142887,2008,2,0.478,0.463,0.5,0.51,0,0,0.5,0,,1,,
237604,2011,4,0.574,0.439,0.606,0.602,0.405,,0.625,0,,,,0.2
117113,2012,2,0.406,0.333,0.495,0.359,0.286,0.786,0.452,,,,,0.333
165802,2010,2,0.571,0.6,0.556,0.556,0.667,,,,,0.5,,
141334,2012,2,0.367,0.303,0.41,0.359,0.386,0.438,0.408,0.167,,0.286,0.326,
138813,2010,2,0.325,0.253,0.415,0.347,0.311,0.4,0.273,0.5,,0.5,,0.125
181297,2011,2,0.818,1,0.813,0.818,,,,,,,,
443720,2008,4,0.415,0.456,0.397,0.517,0.408,,0.273,0,,,0.667,0.316
174358,2009,2,0.439,0.369,0.482,0.475,0.35,0.412,0,0.167,,0.419,,0.336
445197,2009,4,0.451,0.281,0.478,0.487,0.33,0.4,0.484,0,,,,0.538
217998,2011,2,0.547,0.505,0.589,0.594,0.214,0,1,0,,,,0
432199,2011,3,0.245,0.261,0.143,0.444,0.12,1,0.235,,,,,1
439288,2011,3,0.368,0.357,0.38,0.38,0.364,,0.313,,,1,,0.286
146621,2008,3,0.424,,0.424,0.75,0.25,1,0.6,,,,,0
183789,2009,3,0.412,0.252,0.475,0.529,0.263,0.235,0.432,0.75,,,,0.1
409670,2009,4,0.52,0.38,0.552,0.485,0.457,0,0.544,,,,0,0.51
108232,2012,2,0.328,0.309,0.346,0.288,0.147,0.382,0.263,0.5,,0.543,,0.341
204617,2009,2,0.449,0.404,0.474,0.5,0.27,0.5,0.25,,,0.6,,
214801,2011,2,0.458,0.466,0.451,0.477,0.358,0.515,0.389,0,,0.333,,
226091,2010,2,0.29,0.257,0.314,0.333,0.215,0.368,0.34,0.6,,0.5,,0.229
184269,2009,3,0.304,0.291,0.375,0.308,0.343,0.308,0.25,1,,,,0.267
156620,2012,2,0.37,0.351,0.384,0.379,0.202,0.385,0.5,0.125,,0.5,,0.25
136233,2009,3,0.358,0.331,0.378,0.379,0.153,0.45,0.313,0.333,,0.25,,0.5
438498,2010,3,0.385,0.308,0.462,0.6,0.357,1,0.333,,,,0,0
446233,2009,2,0.889,0.667,1,0.889,,,,,,,,
108807,2008,4,0.323,0.298,0.346,0.359,0.289,0.483,0.235,0.4,,0.333,,0.379
441487,2008,4,0.583,0.733,0.551,0.578,,1,,,,,,
152822,2010,3,0.526,0.517,0.529,0.536,0.25,0.8,0.286,0,,,,
434432,2011,4,0.815,1,0.783,0.846,0,,,,,,,
115490,2012,4,0.469,0.2,0.554,0.5,0.25,0.8,0.47,,,,,0.2
247065,2009,3,0.373,0.353,0.379,0.338,1,,,,,,,1
160658,2009,2,0.422,0.371,0.462,0.464,0.26,0.4,0.4,0,,0.464,,0.2
420006,2011,3,0.513,0.529,0.508,0.629,0.526,,0.182,0,,,,0.556
234377,2011,4,0.362,0.404,0.328,0.37,0.235,,0.667,1,,,,0.077
211583,2011,2,0.44,0.471,0.427,0.508,0.323,0.5,0.357,,,,,0.417
215390,2012,4,0.744,0.703,0.78,0.786,0.429,,0,,,,,
190594,2009,2,0.437,0.334,0.488,0.476,0.345,0.471,0.382,0,,0.508,,
112084,2009,2,0.439,0.429,0.447,0.468,0.333,0.2,0.125,,,1,,
101693,2008,2,0.454,0.407,0.478,0.5,0.269,0,1,0.333,,0,,0
134495,2010,4,0.317,0.292,0.338,0.371,0.168,0.447,0.286,0.333,,0.5,,0.389
420006,2008,2,0.462,0.3,1,0.429,,,1,,,,,0.25
190567,2012,2,0.415,0.353,0.462,0.451,0.442,0.578,0.35,,,0.389,,
151263,2009,2,0.511,0.447,0.547,0.546,0.286,0.2,0.222,,,0.333,,0.348
114433,2010,4,0.291,0.252,0.381,0.348,0.179,0.2,0.214,0.375,,1,,0.2
203465,2010,2,0.249,0.223,0.27,0.255,0.111,1,0,0.6,,0.5,,0.231
134121,2011,4,0.397,0.389,0.4,0.375,0.378,0,0.5,1,,,,
155061,2011,2,0.408,0.362,0.45,0.419,0.154,0.5,0.286,0.5,,0,,0.36
160481,2012,4,0.289,0.466,0.149,0.352,0.123,0.25,0.5,0.143,,1,,0.167
187648,2012,2,0.29,0.203,0.384,0.34,0.186,0.308,0.21,0.304,,0.625,,0.588
151962,2008,3,0.706,0.657,0.813,0.762,0.5,,,,,0,,
191597,2012,3,0.647,,0.647,1,0.643,,0.5,,,,,
107521,2012,4,0.293,0.161,0.39,0.288,0.304,,0,1,,0,1,
381796,2011,4,0.611,0.531,0.624,0.25,0,,0.8,,,0,,0.62
449302,2010,4,0.75,0.667,0.769,0.917,0.333,,0,,,,,
224147,2008,2,0.395,0.316,0.444,0.409,0.654,0.476,0.341,0.4,,0,,
207351,2011,2,0.313,0.31,0.32,0.283,,0.667,0.375,0.667,,0,,0.5
440484,2011,3,0.6,0.667,0.5,,,,1,,,,0,0.667
158352,2011,4,0.369,0.472,0.299,0.471,0.323,,1,,,,,0.5
201821,2010,4,0.824,1,0.786,0.824,,,,,,,,
